location,year,month,day,temperature
11111,1992,1,1,23.5
11111,1992,1,2,23.4
11111,1992,1,3,24.0
11111,1992,1,4,23.6
11111,1992,1,5,23.5
11111,1992,1,6,23.6
11111,1992,1,7,24.9
11111,1992,1,8,24.1
11111,1992,1,9,23.7
11111,1992,1,10,23.5
11111,1992,1,11,21.6
11111,1992,1,12,25.0
11111,1992,1,13,25.5
11111,1992,1,14,25.1
11111,1992,1,15,26.2
11111,1992,1,16,25.2
11111,1992,1,17,24.8
11111,1992,1,18,25.5
11111,1992,1,19,24.6
11111,1992,1,20,25.3
11111,1992,1,21,27.6
11111,1992,1,22,26.4
11111,1992,1,23,25.2
11111,1992,1,24,27.5
11111,1992,1,25,27.6
11111,1992,1,26,28.0
11111,1992,1,27,28.0
11111,1992,1,28,28.1
11111,1992,1,29,28.0
11111,1992,1,30,27.8
11111,1992,1,31,28.2
11111,1992,2,1,28.0
11111,1992,2,2,28.4
11111,1992,2,3,28.5
11111,1992,2,4,27.5
11111,1992,2,5,27.7
11111,1992,2,6,28.7
11111,1992,2,7,29.0
11111,1992,2,8,28.0
11111,1992,2,9,29.6
11111,1992,2,10,30.4
11111,1992,2,11,27.5
11111,1992,2,12,28.5
11111,1992,2,13,29.0
11111,1992,2,14,23.5
11111,1992,2,15,26.0
11111,1992,2,16,25.5
11111,1992,2,17,25.4
11111,1992,2,18,27.5
11111,1992,2,19,27.1
11111,1992,2,20,28.5
11111,1992,2,21,27.2
11111,1992,2,22,23.6
11111,1992,2,23,26.8
11111,1992,2,24,27.9
11111,1992,2,25,28.3
11111,1992,2,26,23.5
11111,1992,2,27,28.2
11111,1992,2,28,29.5
11111,1992,2,29,NaN
